"mol%TiO2","mol%HfO2","Ms (K)","T0 (K)"
12,63,1677.2503439923369,1800.0953729750393
12,64,1683.599913167308,1805.3892890993393
12,65,1689.9059199106641,1810.6196996011963
12,66,1696.168465048003,1815.7867405243423
12,67,1702.3876442998157,1820.8905410241991
12,68,1708.5635486005822,1825.9312237984334
12,69,1714.6962643941924,1830.9089054855635
12,70,1720.7858739077606,1835.8236970344226
12,71,1726.832455405634,1840.6757040469142
12,72,1732.8360834253003,1845.465027096282
12,73,1738.7968289966059,1850.191762022898
12,74,1744.7147598456615,1854.8560002094582
12,75,1750.5899405847588,1859.457828837144
12,76,1756.4224328892437,1863.9973311243687
12,77,1762.2122956625597,1868.474586549383
12,78,1767.959585190196,1872.8896710580652
12,79,1773.664355283579,1877.2426572580284
12,80,1779.3266574144875,1881.5336146000227
12,81,1784.9465408408628,1885.7626095476683
12,82,1790.5240527245803,1889.9297057363542
12,83,1796.0592382417367,1894.0349641220732
12,84,1801.5521406860844,1898.078443121005
12,85,1807.0028015660935,1902.0601987403795
12,86,1812.411260695987,1905.980284701464
12,87,1817.7775562813415,1909.8387525549267
12,88,1823.1017249995068,1913.6356517894349
12,89,1828.3838020752603,1917.3710299336947
12,90,1833.6238213520362,1921.044932652553
12,91,1838.8218153589391,1924.6574038374613
12,92,1843.9778153739624,1928.2084856917347
12,93,1849.0918514835544,1931.698218810937
12,94,1854.1639526388278,1935.126642258731
12,95,1859.1941467086108,1938.493793638472
12,96,1864.182460529551,1941.799709160766
12,97,1869.1289199534747,1945.044423707406
12,98,1874.0335498921165,1948.227970891772
12,99,1878.896374359516,1951.3503831159105
12,100,1883.7174165120591,1954.4116916247017
13,0,1157.2880676771997,1295.9380266455694
13,1,1169.1590826876707,1309.1407347451277
